rating_text,rating,foodie_level_num,review_time_friendly,id,likes,review_text
Great!,4,3,6 days ago,2400533,1,"Four star is just for the food because only few outlets are there in Allahabad that adore the taste buds ....shakes , pasta and waffles are ..."
Insane!,5,4,25 days ago,2400533,1,"So i visited this place lots of time, and now its my favorite place to hangout with friends. So i ordered lets nachos and pizza sandwich. Na..."
Average,3,4,25 days ago,2400533,2,Food here is good ....... a little above average ........ menu is limited ..... price is pocket friendly ......... interior is totally aweso...
Insane!,5,3,26 days ago,2400533,1,A small place but its one of the places you can go back often.... its pocket friendly and has tasty food too.... a great gaming area for the...
Insane!,5,2,one month ago,2400533,1,"Best budget cafe in Allahabad. I absolutely adore the ambience, it's fun and funky.Love the sandwiches and shakes. It's my go to place! And ..."
Average,3,4,yesterday,2400195,0,Elegant ambience...you could get good pictures over here. Costly food and taste was fine. Pasta was ok. I had ordered two chicken platters b...
Insane!,5,2,3 days ago,2400195,0,This place is really great and cozy. Food here is amazing and it's a perfect place to go out friends and families. Customer service is also ...
Insane!,5,3,4 days ago,2400195,0,This place one of my fav place such a good environment and food is good too i have taste almost all the food they have specially non veg💕...
Insane!,5,12,11 days ago,2400195,0,"After eating at El Chico Restaurant, we thought of trying this outlet as well, this one is located on the first floor of building just above..."
Avoid!,1,2,18 days ago,2400195,0,"Pathetic service,you go out to have food and ask for cutlery ,bees having fun all around.average food.Zomato fooled me around by its ratings..."
Insane!,5,7,2 days ago,2400019,0,"I visited them for my breakfast weeks ago. The food was awesome. We ordered Dhokhla, Chhole bhature, Idli Sambhar and masala tea. Everything..."
Insane!,5,8,6 days ago,2400019,0,"Review Date - 16th March, 2019  Finally got the time to visit the Bikanervala in Allahabad. Well, Bikanervala does not required any introduc..."
Insane!,5,9,15 days ago,2400019,0,Bikanerwala specialises in variety of namkeens and also they have food menu.I tried their snacks it was amazing.You can surely visit this pl...
Great!,4,3,16 days ago,2400019,1,Bikaner wala In Prayag raj first time I visited in 4 years back for dry fruits it was better than other brands available in haldi ram with v...
Great!,4,2,one month ago,2400019,0,The place is good to have a family dinner but they lack in providing proper quantity of food even after charging such a price. Though it's a...
Insane!,5,4,yesterday,2400390,0,"Best place to have a good time with good food. I had tried their rajkachodi, chinese platter and paneer jalebi. But my favorite one is Punja..."
Great!,4,4,27 days ago,2400390,0,I personally recommend Chole Bhature and Raj Kachori to have in Haldiram. They are simply good. Masala Dosa is also good. Nice ambience but ...
Great!,4,4,one month ago,2400390,0,Much Awaited Restaurant chain in Prayagraj. a little different than Delhi's Haldiram outlets. but a good option to hangout with friends and ...
Average,3,6,2 months ago,2400390,1,Its rajkachori is my all time favourite. Besides its a self serve restaurant and cost is minimal. The taste is ok and the place is fine. Yes...
Avoid!,1,2,2 months ago,2400390,0,Worst place... manager is so irresponsible guy useless food.. bad behavior.... icecream was having plastic piece ........ it is not safe for...
Insane!,5,2,14 days ago,18889008,0,"A must visit place for foodies. Delicious food, beautiful place and courteous staff.  Smoked Dal makhni is a must try.  The only problem is ..."
Great!,4,5,20 days ago,18889008,2,"Before Eden, there used to be Connoisseur, which was not a bad restaurant by any means. It seems that Connoisseur was revamped and was chang..."
Insane!,5,4,20 days ago,18889008,0,"I had visited the restaurant with friends, and was greeted by a beautiful wall garden, with shades of blue, green and white on the walls. Th..."
Great!,4,4,24 days ago,18889008,1,No doubt this is the best place is Prayagraj when ambience is considered ....... they have created this smooth pleasing environment which cu...
Insane!,5,5,26 days ago,18889008,2,(Will update after Next Visit😍😝) This restaurant is such a wonderful concept in a city like Allahabad...Roof Top Garden with Bonsai an...
Insane!,5,2,9 hours ago,2400661,0,"Must recommended restaurant, It's a nice restaurant & Foods are delicious and Services are good too. Now Zomato, Swiggy & other online food ..."
Insane!,5,2,4 days ago,2400661,0,Chicken sezwaan is awesome taste kadhai chicken is chicken hyderabadi... Chicken korma mutton handi delicious food in blackout restaurant am...
Insane!,5,2,5 days ago,2400661,0,"I like it chicken biryani thank to black out restaurant. , the Biryani was mouth watering and very tasty biryanis price was very etiquette a..."
Insane!,5,2,5 days ago,2400661,1,I ordered online blackout in tomato in amazing food ..kadhai chicken is very delicious food ...nd roasted chicken is very delicious and low ...
Insane!,5,2,7 days ago,2400661,1,Gud delievert food in online orderd zomato ...chicken handi is very delicious food ...plz try food in restaurant chicken biryani chicken sez...
Insane!,5,2,17 hours ago,2400596,1,An good restaurant packing and the food quality is awsome with great offer +50% off providing free frenchfries with selected orders 30% off ...
Avoid!,1,2,5 days ago,2400596,0,Not a very good restaurant in terms of service. Even served us expired toppings. On complaining the staff turned out to be a little rude ins...
Great!,4,2,10 days ago,2400596,0,"I had a great tym in dis caffe. Service ws vry good, café's menu ws quit different n unique. Dishes ws really delicious n flavorful. cafe's..."
Great!,4,3,11 days ago,2400596,0,I ordered first time from pantry car i am fan of these place snacks and I wish one time I go there because I am listen good feedback of thes...
Blah!,2,2,17 days ago,2400596,0,ordered veg hakka noodles and veg momos via zomato and this was my worst experience. 1. quantity is very less as compared to price 2. they w...
Average,3,2,6 hours ago,2400017,0,Food is good. Service is nice but sometimes too delayed! Being veggie I liked their main course. Mushroom dish was tasty. Paneer dish was yu...
Average,3,3,one month ago,2400017,0,"I'm sorry to say this but tandoor has lost its charm. This was my favourite restaurant growing up, now it has changed(not evolved) but chang..."
Insane!,5,2,2 months ago,2400017,0,"I had ordered chicken biryani and it was delicious. Nicely packed with salad, chutney, pickle n sweet. Value for money. Would like to recomm..."
Blah!,2,2,2 months ago,2400017,0,Delivery was on time but the difference is that they send me the most of the chicken pices were burnt and they have coverd using a gravy..pl...
Insane!,5,2,21 days ago,2400293,0,"Cake was presented very beautifully and taste wise also cake is also good, delivery man very welly attended the calls and reached me in alsm..."
Insane!,5,2,21 days ago,2400293,0,A good and a timely dilevery and nive things i like paradise and zomato very much.😄😃😃a wonderful and a good app I didn't like swigg...
Insane!,5,3,one month ago,2400293,0,One of the best in Allahabad/Prayagraj for desserts. Mostly stocked up with fresh food. They also take pre-orders for cakes. The recommendat...
Great!,4,5,one month ago,2400293,0,"This place is actually paradise for pastry lovers !! They serve some mouth smacking confectionery items like burgers , hog dog , sandwich et..."
Insane!,5,8,4 months ago,2400293,0,This place is really a paradise in Allahabad for Cake and Pastry lovers... As it's have the best and amazing quality of fast food... And I l...
Avoid!,1,2,21 days ago,18707628,0,Very bad ghatiya price bhi jyada taste bhi ghatiya go to hell baba Biriyani Tum jaise log ek bar hi logo ko bewkoof bna skte ho ghatiya prod...
Average,3,12,28 days ago,18707628,0,"This outlet is located in the posh civil lines area and houses a medium size eating arrangement. With limited offerings and good service, th..."
Average,3,10,one month ago,18707628,0,Well I didn't dine there but took a parcel of their biryani so I will not comment on their ambience. Now let's come to the packing which was...
Avoid!,1,3,one month ago,18707628,0,I have odered chicken biryani. taste of biryani was horrible and the price of biryani is 150 rupees which is too much for this pathetic biry...
Avoid!,1,9,one month ago,18707628,0,Heard from some locals about this place so i have decided to try its chicken biryani. I think this was the worst biryani i have ever try . P...
Insane!,5,2,3 days ago,2400739,0,This place is awesome and the customer service is amazing. The staff make sure that your needs are being filled. I would love to go back her...
Insane!,5,3,one month ago,2400739,0,"Amazing place, the staff was quick and efficient. Ambience was decent. Most importantly though, the food was top-notch. The starters, main c..."
Insane!,5,4,one month ago,2400739,0,"This place is heaven for those who love non-veg.. Damn good taste, long list of menu, so attentive... Everything is soo good here and they e..."
Great!,4,4,one month ago,2400739,1,"It’s earned quite a name for itself from the college goers and families alike. Ambience is fantastic, the staff are very attentive and pol..."
Insane!,5,2,one month ago,2400739,0,Best in class restaurant.the concept of limitless delicious food is unique in its regard.just keep it up and add more items so that we can h...
Insane!,5,4,18 days ago,2400144,0,I have ordered masala dosa...As expected It was delicious....but only one question why I haven't got green chutney?? as u ppl always serve t...
Average,3,5,19 days ago,2400144,1,"#latereview  On a recent visit home, visited this place for lunch.  Decor and ambience feels quite authentic, and it seems even the staff is..."
Insane!,5,3,20 days ago,2400144,0,"Located in Civil Lines, they have really good South Indian food. They also serve Chinese which is not bad, and not so special. Their coconut..."
Average,3,6,one month ago,2400144,0,"I visit this place first tym, its a small south Indian restaurant which has beautiful interiors n exterior... I like the ambience the chair ..."
Great!,4,4,one month ago,2400144,1,"This restaurant offers a wide range of South Indian dishes with a twist. The dosa menu itself consists of two pages, each dish ensuring the ..."
Avoid!,1,2,one month ago,2400459,0,not worth ordering as it is too expensive n quality is worst .i have paid 366 for this simple pizza will never suggest any one to buy frm th...
Insane!,5,7,one month ago,2400459,15,Finally got a chance to visit this place with my brother...a small pleasant atmosphere with great service...the pizzas are a big change from...
Insane!,5,4,2 months ago,2400459,0,Just Amazing place for foodie ....The pizza lovers and the one who wants best quality pizza and the amazing taste..... infrastructure is als...
Average,3,6,2 months ago,2400459,1,I have just a couple of times here.But the pizza i felt could have been much better owing to its taste and pricing again was way to much i f...
Insane!,5,8,2 months ago,2400459,0,This was the Fast delivery that i have ever experienced. Food was delivered warm and nice. The pizzas are a must try as they are so deliciou...
Avoid!,1,2,15 days ago,2400081,2,"Rate - 0 i ordered paneer butter sabzi last night it was half cooked , too spicy and gravy like only masala vry bad experience waste of mone..."
Avoid!,1,2,16 days ago,2400081,0,Quality of bread was very poor. I was very disappointed. It's was delivered me within 20 minutes. I was very surprised by delivery time and ...
Insane!,5,3,16 days ago,2400081,0,"Ordered  for Dinner, Everything was Good in taste and But mix veg was Super awesome, order was  freshly prepared, and timely delivered, sa..."
Avoid!,1,2,19 days ago,2400081,0,Since zomato doesn't have zero rating I have to give it one  I ordered food by home delivery. Kadhai panner was spoiled by excessive use of ...
Avoid!,1,2,26 days ago,2400081,1,This restaurants rate is very high and gives food very less and take much time to make...It is very dissapointted the box of food is very sm...
Insane!,5,2,6 days ago,2400600,2,"It was a plzr to have u here ,we really enjoyed all that stuffs and the delivery was so quick & good.. But out of these the meal has been se..."
Blah!,2,2,8 days ago,2400600,0,Pizza quality was definitely good but the way in which it came was bad...Improve this thing asap...Taste is always nice but packing is somet...
Avoid!,1,2,8 days ago,2400600,0,"The wasn't Good burger had no tikki inside., Also they haven't provided sauce, i ordered two pizza and a burger packaging was also bad.. i a..."
Great!,4,1,9 days ago,2400600,0,Provides good quality of Pizza . I liked it very much . But something must be done with the packaging or it can be in a carry bag so that th...
Avoid!,1,2,9 days ago,2400600,0,The food wasn't delicious. Despite giving discount they should improve the quality. Packing quality is very bad and the ingredients are not ...
Insane!,5,2,8 days ago,2400250,0,"Pastry, burger and pizza etc. are the best of best. Pastry quality is top notch, pastries are available in both eggless and with egg. Burger..."
