"srno","id","name","url","address","locality","city","city_id","latitude","longitude","locality_verbose","cuisines","average_cost_for_two","price_range","currency","aggregate_rating","rating_text","rating_color","votes","has_fake_reviews","has_online_delivery","is_table_reservation_supported","has_table_booking"
"512","18974176","Muskan Pastries ( Raju Patty Corner )","https://www.zomato.com/mathura/muskan-pastries-raju-patty-corner-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Bharatpur gate, mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5008006009","77.6788380370","Mathura Locality, Mathura","Fast Food","50","1","Rs.","3.5","Good","9ACD32","4","0","1","0","0"
"513","18988818","Babylon Restaurant","https://www.zomato.com/mathura/babylon-restaurant-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","oppo shri Krishna janmasthan mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5039255453","77.6693829149","Mathura Locality, Mathura","North Indian, Indian","250","1","Rs.","0","Not rated","CBCBC8","3","0","1","0","0"
"514","18968587","Hotel Sheel Gopal","https://www.zomato.com/mathura/hotel-sheel-gopal-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Dampier Nagar Musiam, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4943928194","77.6788454130","Mathura Locality, Mathura","South Indian, North Indian, Indian","300","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"515","18875860","Bansal Foods","https://www.zomato.com/mathura/bansal-foods-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Mant wala Bagicha, main Road, Krishna Nagar, Mathura - 281004, Near Levi, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5008951713","77.6568898559","Mathura Locality, Mathura","North Indian, Indian","400","2","Rs.","3.7","Good","9ACD32","6","0","1","0","0"
"516","18973633","OMA Pehalwan Kachori Wala","https://www.zomato.com/mathura/oma-pehalwan-kachori-wala-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Holi Gate, Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5000939967","77.6848629490","Mathura Locality, Mathura","Fast Food","50","1","Rs.","0","Not rated","CBCBC8","3","0","1","0","0"
"517","18876167","Taj Family Restaurant","https://www.zomato.com/mathura/taj-family-restaurant-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Deeg Gate, Daresi Road, Mathura - 281001, Near Mani Hotel, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.5039948355","77.6728805155","Mathura Locality, Mathura","Roast Chicken, North Indian, Mughlai, Chinese","250","1","Rs.","3.4","Average","CDD614","4","0","1","0","0"
"518","18966103","VIP Pizza ","https://www.zomato.com/mathura/vip-pizza-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Bhuteshwar Road, BSA engineering college Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4948951416","77.6714264229","Mathura Locality, Mathura","Italian","300","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"519","18968201","Goli Vada Pav No. 1","https://www.zomato.com/mathura/goli-vada-pav-no-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","1, Arya samaj road holi gate, Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4988241199","77.6864645630","Mathura Locality, Mathura","Fast Food","200","1","Rs.","3.5","Good","9ACD32","4","0","1","0","0"
"520","18973201","Raasta Fast Food","https://www.zomato.com/mathura/raasta-fast-food-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Dampier Nagar, Near Andhra Bank Mathura, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4931454802","77.6792923361","Mathura Locality, Mathura","Chinese, Roast Chicken, Fast Food, Mughlai","200","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
"521","18973214","Cake Point ","https://www.zomato.com/mathura/cake-point-1-mathura-locality?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1","Opposite SBI Railway Quarter, Mathura Locality, Mathura","Mathura Locality","Mathura","11392","27.4897350031","77.6777467132","Mathura Locality, Mathura","Fast Food, Bakery","100","1","Rs.","0","Not rated","CBCBC8","2","0","1","0","0"
