city_id,cuisines,currency,is_table_reservation_supported,is_book_form_web_view,average_cost_for_two,locality_verbose,id,switch_to_order_menu,votes,aggregate_rating,country_id,has_fake_reviews,latitude,rating_text,has_table_booking,address,price_range,name,has_online_delivery,url,longitude,rating_color
24,"Healthy Food, Salad, Fast Food",Rs.,0,0,500,"Civil Lines, Allahabad",2400279,0,170,4.0,1,0,25.4501915269,Very Good,0,"207/53, Mahatma Gandhi Marg, Civil Lines, Allahabad",3,Subway,1,https://www.zomato.com/allahabad/subway-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8339630216,5BA829
24,"Cafe, Beverages, Bakery",Rs.,0,0,300,"Ashok Nagar, Allahabad",2400455,0,291,4.7,1,0,25.4677207511,Excellent,0,"Om Sharda Complex, Opposite Akash Puri Colony, Ashok Nagar, Allahabad",2,Malt,1,https://www.zomato.com/allahabad/malt-ashok-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8226799741,3F7E00
24,"Bakery, Italian, Continental, Desserts",Rs.,0,0,200,"Civil Lines, Allahabad",18901221,0,64,4.1,1,0,25.4509577611,Very Good,0,"128B/24/6A, Mahatma Gandhi Marg, Civil Lines, Allahabad",1,7th Heaven,1,https://www.zomato.com/allahabad/7th-heaven-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8311906233,5BA829
24,"Desserts, Mithai",Rs.,0,0,300,"Katra, Allahabad",2400233,0,206,4.1,1,0,25.4646511000,Very Good,0,"259, Katra Chouraha, Katra, Allahabad",2,Netram Mulchand & Sons,0,https://www.zomato.com/allahabad/netram-mulchand-sons-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.7820477000,5BA829
24,Cafe,Rs.,0,0,500,"Civil Lines, Allahabad",18708164,0,83,3.8,1,0,25.4597093170,Good,0,"45/A/1A/4, Dayanand Marg, Near Dhobi Petrol Pump Chauraha, Civil Lines, Allahabad",3,BrewBakes,1,https://www.zomato.com/allahabad/brewbakes-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8388701230,9ACD32
24,Chinese,Rs.,0,0,300,"George Town, Allahabad",18812187,0,60,4.0,1,0,25.4507637054,Very Good,0,"143/21-B, Madan Mohan Malviya Road, George Town, Allahabad",2,Prayag Food Plaza,1,https://www.zomato.com/allahabad/prayag-food-plaza-george-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8609202281,5BA829
24,"Cafe, Fast Food",Rs.,0,0,350,"Civil Lines, Allahabad",2400148,0,171,3.9,1,0,25.4531053705,Good,0,"Vinayak Pushp, 77 Elgin Road, Near Florista, Civil Lines, Allahabad",2,Bean Here,1,https://www.zomato.com/allahabad/bean-here-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8328210711,9ACD32
24,"North Indian, Chinese, Continental",Rs.,0,0,600,"Civil Lines, Allahabad",2400032,0,141,3.7,1,0,25.4540165944,Good,0,"3D/1, Near Prithvi Garden, Cooper Road, Civil Lines, Allahabad",3,Celebrations,1,https://www.zomato.com/allahabad/celebrations-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8370539323,9ACD32
24,Cafe,Rs.,0,0,400,"Civil Lines, Allahabad",2400505,0,100,3.8,1,0,25.4512453625,Good,0,"Vinayak Central Plaza, Behind Big Bazar, Civil Lines, Allahabad",2,Coffee Calling,1,https://www.zomato.com/allahabad/coffee-calling-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8367478251,9ACD32
24,"Biryani, North Indian, Finger Food",Rs.,0,0,1400,"Civil Lines, Allahabad",2400591,0,146,3.4,1,0,25.4548379009,Average,0,"22/B, Sardar Patel Marg, Civil Lines, Allahabad, Uttar Pradesh 211001, India",4,Barcode,1,https://www.zomato.com/allahabad/barcode-3-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8350392580,CDD614
24,"North Indian, South Indian, Chinese, Fast Food",Rs.,0,0,450,"Dhoomanganj, Allahabad",2400026,0,192,4.0,1,0,25.4497313602,Very Good,0,"39/41, Meera Patti, G T Road, Transport Nagar, Near Dhoomanganj, Allahabad",2,Makkhan's Restaurant,0,https://www.zomato.com/allahabad/makkhans-restaurant-dhoomanganj?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.7706635594,5BA829
24,Mithai,Rs.,0,0,400,"Civil Lines, Allahabad",2400005,0,148,4.1,1,0,25.4532250000,Very Good,0,"Elgin Road, Civil Lines, Allahabad",2,Kamdhenu,1,https://www.zomato.com/allahabad/kamdhenu-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8329060000,5BA829
24,North Indian,Rs.,0,0,600,"Civil Lines, Allahabad",2400443,0,134,3.9,1,0,25.4528062696,Good,0,"10/14, Elgin Road, Civil Lines, Allahabad, Uttar Pradesh, India",3,9280 The Family Restaurant,1,https://www.zomato.com/allahabad/9280-the-family-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8408754095,9ACD32
24,"Mughlai, North Indian, Chinese",Rs.,0,0,600,"Vinayak City Centre Mall, Civil Lines, Allahabad",2400010,0,146,4.0,1,0,25.4546205413,Very Good,0,"Second Floor, Vinayak City Center Mall, SP Marg, Civil Lines, Allahabad",3,Moti Mahal Delux,1,https://www.zomato.com/allahabad/moti-mahal-delux-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8346456438,5BA829
24,"Mughlai, North Indian, Chinese, South Indian",Rs.,0,0,800,"Civil Lines, Allahabad",2400397,0,83,3.8,1,0,25.4598222303,Good,0,"Shop 18A, Second Floor, Sardar Patel Marg, Above HDFC Bank, Civil Lines, Allahabad",3,Moti Mahal Delux Tandoori Trail,1,https://www.zomato.com/allahabad/moti-mahal-delux-tandoori-trail-1-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8356451020,9ACD32
24,Desserts,Rs.,0,0,400,"Civil Lines, Allahabad",2400105,0,123,4.2,1,0,25.4504264534,Very Good,0,"37, MG Marg, Civil Lines, Allahabad",2,Kamdhenu Sweets,1,https://www.zomato.com/allahabad/kamdhenu-sweets-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8321894109,5BA829
24,"Beverages, Ice Cream, Desserts",Rs.,0,0,400,"Civil Lines, Allahabad",2400633,0,75,4.1,1,0,25.4502693312,Very Good,0,"202/45, MG Marg, Civil Lines, Allahabad",2,Keventers,1,https://www.zomato.com/allahabad/keventers-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8335325271,5BA829
24,"North Indian, Chinese",Rs.,0,0,500,"Naini, Allahabad",2400172,0,62,3.5,1,0,25.4100959364,Good,0,"262, Araman Market, Mahewa, Naini, Allahabad",3,Bliss Restro,1,https://www.zomato.com/allahabad/bliss-restro-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8446167558,9ACD32
