cuisines,has_online_delivery,is_book_form_web_view,votes,name,switch_to_order_menu,has_table_booking,currency,rating_text,city_id,average_cost_for_two,has_fake_reviews,price_range,address,locality_verbose,aggregate_rating,latitude,country_id,is_table_reservation_supported,rating_color,url,longitude
"South Indian, Chinese",1,0,244,The Tamarind Tree,0,0,Rs.,Good,24,500,0,3,"60 C, Thornhill Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4597453403,1,0,9ACD32,https://www.zomato.com/allahabad/the-tamarind-tree-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8349437043
"Pizza, Beverages",1,0,330,Chicago Pizza,0,0,Rs.,Very Good,24,400,0,2,"Vinayak City Square, Sardar Patel Marg, Parade Ground, Civil Lines, Allahabad","Civil Lines, Allahabad",4.1,25.4520000860,1,0,5BA829,https://www.zomato.com/allahabad/chicago-pizza-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8350791559
"North Indian, South Indian, Chinese",1,0,96,Chhappan Bhog,0,0,Rs.,Good,24,600,0,3,"17/2, Kutchery Road, Katra, Allahabad","Katra, Allahabad",3.6,25.4647321908,1,0,9ACD32,https://www.zomato.com/allahabad/chhappan-bhog-katra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8487413228
"Fast Food, Chinese",1,0,85,Hot n Cool,0,0,Rs.,Very Good,24,300,0,2,"262, Armaan Market, Indalpur Road, Mahewa, Near Bank Of Baroda, Naini, Allahabad","Naini, Allahabad",4.0,25.4101150155,1,0,5BA829,https://www.zomato.com/allahabad/hot-n-cool-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8447079510
"Fast Food, Desserts",1,0,136,Paradise Confectioner,0,0,Rs.,Very Good,24,500,0,3,"3/3 Hashimpur Road, Tagore Town, Allahabad","Tagore Town, Allahabad",4.3,25.4572808989,1,0,5BA829,https://www.zomato.com/allahabad/paradise-confectioner-tagore-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8600495160
"North Indian, Fast Food",0,0,266,Hot Stuff,0,0,Rs.,Very Good,24,500,0,3,"21 C, Lal Bhadhur Shastri Marg, Civil Lines, Allahabad","Civil Lines, Allahabad",4.0,25.4526318946,1,0,5BA829,https://www.zomato.com/allahabad/hot-stuff-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8347324803
"Indian, Continental",1,0,121,Cafe BigBoxx,0,0,Rs.,Very Good,24,600,0,3,"Orchard One Hotel 
Near Big Bazaar, 
Civil Lines,
Allahabad","Civil Lines, Allahabad",4.2,25.4517463929,1,0,5BA829,https://www.zomato.com/allahabad/cafe-bigboxx-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8374706805
"North Indian, Chinese",1,0,133,Raju Kitchen Restaurant,0,0,Rs.,Good,24,400,0,2,"Tandon Road, Civil Lines, Allahabad","Civil Lines, Allahabad",3.9,25.4562404361,1,0,9ACD32,https://www.zomato.com/allahabad/raju-kitchen-restaurant-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8309160322
"Chinese, North Indian, Continental, Beverages",1,0,19,Busy Bee Restro,0,0,Rs.,Good,24,700,0,3,"Arail Mod Chauraha, Infront Of Rudra Apartment, Naini, Allahabad","Naini, Allahabad",3.5,25.4029140000,1,0,9ACD32,https://www.zomato.com/allahabad/busy-bee-restro-naini?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8686910000
Fast Food,1,0,35,Andeywala,0,0,Rs.,Good,24,200,0,1,"Shop 15, Tulsiani Grace Mall, Civil Lines, Allahabad","Civil Lines, Allahabad",3.8,25.4546670000,1,0,9ACD32,https://www.zomato.com/allahabad/andeywala-civil-lines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,81.8338890000
